filter_tier,initial_group,profile_family,rows,example_profile_name,reasons
A_core_v0,fuel oil/diesel,diesel exhaust,312,Diesel Exhaust - Farm equipment,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,motor vehicle exhaust,182,Motor Vehicle Exhaust,fuel oil; transport exhaust
A_core_v0,wood/biomass,residential wood burning,82,Residential Wood Burning,residential/heating; transport exhaust
A_core_v0,wood/biomass,residential wood combustion,71,Residential Wood Combustion,residential/heating; transport exhaust
A_core_v0,coal,coal combustion,62,Coal Combustion,coal/lignite; industrial/reference proxy; residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,oil,44,Oil-Fired Power Plant,fuel oil; industrial/reference proxy; transport exhaust
A_core_v0,wood/biomass,vegetative burning,28,Vegetative Burning,waste/open burning; wildfire/agri biomass proxy
A_core_v0,fuel oil/diesel,biodiesel exhaust,27,Biodiesel Exhaust - Light Duty Truck operated at 24.1 oC; Cold Start,fuel oil; transport exhaust
A_core_v0,wood/biomass,fireplace wood combustion,25,Fireplace wood combustion - eucalyptus wood,residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,vehicle exhaust,20,Vehicle Exhaust - Tuscarora Tunnel Diesel - 1995,fuel oil; transport exhaust
A_core_v0,wood/biomass,fireplaces,20,Fireplaces - Softwoods,residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,heavy duty vehicles,16,Heavy Duty Vehicles - Diesel,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,light duty vehicles,16,Light Duty Vehicles - Diesel,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,gasoline vehicle,15,Gasoline Vehicle,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel headspace vapor,14,Diesel Headspace Vapor - Circle K Diesel - adjusted for oxygenates,fuel oil
A_core_v0,fuel oil/diesel,oil combustion,14,Oil Combustion,fuel oil; industrial/reference proxy; transport exhaust
A_core_v0,coal,residential coal combustion,13,Residential Coal Combustion,coal/lignite; residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,external combustion,12,External Combustion - Heavy Oil-Fired Boiler Composite,fuel oil; industrial/reference proxy; transport exhaust
A_core_v0,waste/open burning,municipal incinerator,12,Municipal Incinerator (Philadelphia),waste/open burning
A_core_v0,wood/biomass,forest fire,12,Forest Fire,transport exhaust; waste/open burning; wildfire/agri biomass proxy
A_core_v0,wood/biomass,residential woodstove,12,"Residential Woodstove - Medford, Oregon",residential/heating
A_core_v0,wood/biomass,wood stoves,12,Wood Stoves - Pine Fuel,residential/heating
A_core_v0,fuel oil/diesel,liquid diesel,10,Liquid Diesel - California composite,fuel oil
A_core_v0,wood/biomass,external combustion,8,External Combustion - Wood-Fired Boiler Composite,industrial/reference proxy; transport exhaust
A_core_v0,wood/biomass,grass fire,8,Grass Fire-Flaming-Oregon AE6,transport exhaust; wildfire/agri biomass proxy
A_core_v0,fuel oil/diesel,residual oil combustion,7,Residual Oil Combustion,fuel oil; transport exhaust
A_core_v0,wood/biomass,residential wood stove combustion,7,Residential Wood Stove Combustion - White Oak,residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,light duty diesel exhaust,6,Light Duty Diesel Exhaust - diesel and biodiesel - Euro4,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,marine vessel,6,Marine Vessel - Main Engine - Heavy Fuel Oil,fuel oil
A_core_v0,coal,external combustion boiler,5,External Combustion Boiler - Coal-Slurry Fired,coal/lignite; industrial/reference proxy; transport exhaust
A_core_v0,fuel oil/diesel,diesel generator exhaust,5,Diesel Generator Exhaust,fuel oil; industrial/reference proxy
A_core_v0,waste/open burning,tire burning,5,Tire Burning,industrial/reference proxy; waste/open burning
A_core_v0,wood/biomass,outdoor wood,5,Outdoor Wood-fired Boiler - Red Oak,residential/heating; waste/open burning
A_core_v0,coal,coal,4,Coal- And Refuse Derived Fuel (RDF)-Fired Power Plant,coal/lignite; industrial/reference proxy; waste/open burning
A_core_v0,coal,external combustion,4,External Combustion - Coal-Fired Composite,coal/lignite; industrial/reference proxy; transport exhaust
A_core_v0,coal,residential space heating,4,Residential Space Heating - Coal,coal/lignite; residential/heating
A_core_v0,fuel oil/diesel,boiler,4,Boiler - #2 Fuel Oil Fired,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,conventional diesel exhaust,4,Conventional Diesel Exhaust - Idle Cycle,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel vehicles,4,Diesel Vehicles - Las Vegas Valley (1987),fuel oil
A_core_v0,fuel oil/diesel,heavy duty diesel,4,Heavy Duty Diesel,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,heavy duty diesel trucks,4,Heavy Duty Diesel Trucks,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,onroad diesel non,4,Onroad Diesel Non-DPF Idle,fuel oil
A_core_v0,fuel oil/diesel,residual oil,4,Residual Oil-Fired Boiler / Petroleum Refinery,fuel oil; transport exhaust
A_core_v0,waste/open burning,municipal incinerator composite,4,Municipal Incinerator Composite,waste/open burning
