profile_code,profile_name,profile_description,source_category_fields_available,matched_keywords,initial_group,confidence,reason,filter_tier,filter_reason,profile_family,recommended_use
1085,External Combustion Boiler - Coal-Slurry Fired,Information from one source test where data were obtained using GC.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion boiler,keep_for_v0_source_set
1120110,Coal-Fired Power Plant,Dilution train samples. Representative sample from set of nine.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112012.5,Coal-Fired Power Plant,Dilution train samples. Representative sample from set of nine.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120130,Coal-Fired Power Plant,Dilution train samples. Representative sample from set of nine.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11201C,Coal-Fired Power Plant,Dilution train samples. Representative sample from set of nine.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120210,Coal-Fired Power Plant,-,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112022.5,Coal-Fired Power Plant,-,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120230,Coal-Fired Power Plant,-,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11202C,Coal-Fired Power Plant,-,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120310,Coal-Fired Power Plant,"Sampled with an Andersen impactor. Analyzed using AAS, dc AES, X-ray spectrometry, and spark-source MS.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112032.5,Coal-Fired Power Plant,"Sampled with an Andersen impactor. Analyzed using AAS, dc AES, X-ray spectrometry, and spark-source MS.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120330,Coal-Fired Power Plant,"Sampled with an Andersen impactor. Analyzed using AAS, dc AES, X-ray spectrometry, and spark-source MS.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11203C,Coal-Fired Power Plant,"Sampled with an Andersen impactor. Analyzed using AAS, dc AES, X-ray spectrometry, and spark-source MS.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120410,Coal-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112042.5,Coal-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120430,Coal-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11204C,Coal-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120510,Coal-Fired Power Plant,Plant A sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112052.5,Coal-Fired Power Plant,Plant A sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120530,Coal-Fired Power Plant,Plant A sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11205C,Coal-Fired Power Plant,Plant A sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
